CPUs: 192
Tuning rounds: [4]

============================================================
R4: settle_rate=0.086, 5 seeds
============================================================
34992 combos x 5 seeds x 20 MC (coarse)
  [  384/34992] 1%  4s  ETA 380s  best=62.0
  [  768/34992] 2%  7s  ETA 314s  best=62.4
  [ 1152/34992] 3%  10s  ETA 288s  best=62.4
  [ 1536/34992] 4%  12s  ETA 272s  best=62.6
  [ 1920/34992] 5%  15s  ETA 262s  best=62.6
  [ 2304/34992] 7%  18s  ETA 252s  best=62.6
  [ 2688/34992] 8%  20s  ETA 244s  best=62.6
  [ 3072/34992] 9%  23s  ETA 238s  best=62.6
  [ 3456/34992] 10%  25s  ETA 231s  best=62.6
  [ 3840/34992] 11%  28s  ETA 226s  best=62.6
  [ 4224/34992] 12%  30s  ETA 221s  best=62.6
  [ 4608/34992] 13%  33s  ETA 216s  best=62.6
  [ 4992/34992] 14%  35s  ETA 212s  best=62.6
  [ 5376/34992] 15%  38s  ETA 207s  best=62.6
  [ 5760/34992] 16%  40s  ETA 203s  best=62.6
  [ 6144/34992] 18%  43s  ETA 200s  best=62.6
